"Año","Región","Diferencia_Hombres_Mujeres"
2019,"Región del Maule",23.5266866694564
2019,"Total país",20.3177699603611
2020,"Región Metropolitana de Santiago",18.2735812658114
2020,"Región de Antofagasta",19.573471231563
2020,"Región de Arica y Parinacota",22.3818590638832
2020,"Región de Atacama",23.215662243044
2020,"Región de Aysén del Gral. Carlos Ibáñez del Campo",15.2725841999722
2020,"Región de Coquimbo",19.8590929632096
2020,"Región de La Araucanía",19.0887410163222
2020,"Región de Los Lagos",21.4079519737128
2020,"Región de Los Ríos",20.5071412258945
2020,"Región de Magallanes y La Antártica Chilena",17.9614917399851
2020,"Región de Tarapacá",20.8240668648884
2020,"Región de Valparaíso",19.8550873186566
2020,"Región de Ñuble",26.2559953739163
2020,"Región del Biobío",20.2725131366854
2020,"Región del Libertador Gral. Bernardo O'Higgins",22.3008517831506
2020,"Región del Maule",23.6112214772448
2020,"Total país",19.873896890237
2021,"Región Metropolitana de Santiago",18.7773621388861
2021,"Región de Antofagasta",21.3512067259445
2021,"Región de Arica y Parinacota",20.6759810317726
2021,"Región de Atacama",22.3768905628567
2021,"Región de Aysén del Gral. Carlos Ibáñez del Campo",16.9686112328302
2021,"Región de Coquimbo",22.3069837885166
2021,"Región de La Araucanía",19.531807849683
2021,"Región de Los Lagos",21.1629981076589
2021,"Región de Los Ríos",21.8997675739316
2021,"Región de Magallanes y La Antártica Chilena",17.7553076170916
2021,"Región de Tarapacá",18.0933770261853
2021,"Región de Valparaíso",20.1477769373254
2021,"Región de Ñuble",25.4763319901647
2021,"Región del Biobío",21.2842435041896
2021,"Región del Libertador Gral. Bernardo O'Higgins",24.2001005079394
2021,"Región del Maule",24.4819979160059
2021,"Total país",20.4597979520535
2022,"Región Metropolitana de Santiago",18.0759953706021
2022,"Región de Antofagasta",22.760149157973
2022,"Región de Arica y Parinacota",16.9625913201682
2022,"Región de Atacama",20.7713721446738
2022,"Región de Aysén del Gral. Carlos Ibáñez del Campo",14.9814611407923
2022,"Región de Coquimbo",22.0496371765534
2022,"Región de La Araucanía",18.8358560821955
2022,"Región de Los Lagos",20.6329943312957
2022,"Región de Los Ríos",20.601281553293
2022,"Región de Magallanes y La Antártica Chilena",16.280238723284
2022,"Región de Tarapacá",15.9049921419213
2022,"Región de Valparaíso",18.7965564357211
2022,"Región de Ñuble",22.98926197781
2022,"Región del Biobío",18.7929651372674
2022,"Región del Libertador Gral. Bernardo O'Higgins",22.6368538603284
2022,"Región del Maule",21.8106095912466
2022,"Total país",19.3332827749937
2023,"Región Metropolitana de Santiago",17.3014963252137
2023,"Región de Antofagasta",21.1956506210577
2023,"Región de Arica y Parinacota",14.949764061193
2023,"Región de Atacama",20.9800798580481
2023,"Región de Aysén del Gral. Carlos Ibáñez del Campo",15.2591670945687
2023,"Región de Coquimbo",22.2556483313166
2023,"Región de La Araucanía",19.0423191925055
2023,"Región de Los Lagos",19.7533790939786
2023,"Región de Los Ríos",20.2120320011606
2023,"Región de Magallanes y La Antártica Chilena",15.844663109823
2023,"Región de Tarapacá",17.003274867644
2023,"Región de Valparaíso",18.788076439979
2023,"Región de Ñuble",24.4961369487556
2023,"Región del Biobío",19.3031367354498
2023,"Región del Libertador Gral. Bernardo O'Higgins",23.6534888983555
2023,"Región del Maule",21.4182129741182
2023,"Total país",19.0233727522187
